hour_index,recorded_requests,input_tokens,output_tokens,zero_output_requests,Model,Log Type,is_last_partial_hour
0,0,0,0,0,ChatGPT,API log,False
1,0,0,0,0,ChatGPT,API log,False
2,0,0,0,0,ChatGPT,API log,False
3,0,0,0,0,ChatGPT,API log,False
4,0,0,0,0,ChatGPT,API log,False
5,0,0,0,0,ChatGPT,API log,False
6,0,0,0,0,ChatGPT,API log,False
7,0,0,0,0,ChatGPT,API log,False
8,0,0,0,0,ChatGPT,API log,False
9,0,0,0,0,ChatGPT,API log,False
10,0,0,0,0,ChatGPT,API log,False
11,0,0,0,0,ChatGPT,API log,False
12,0,0,0,0,ChatGPT,API log,False
13,0,0,0,0,ChatGPT,API log,False
14,0,0,0,0,ChatGPT,API log,False
15,0,0,0,0,ChatGPT,API log,False
16,0,0,0,0,ChatGPT,API log,False
17,0,0,0,0,ChatGPT,API log,False
18,0,0,0,0,ChatGPT,API log,False
19,0,0,0,0,ChatGPT,API log,False
20,0,0,0,0,ChatGPT,API log,False
21,0,0,0,0,ChatGPT,API log,False
22,0,0,0,0,ChatGPT,API log,False
23,0,0,0,0,ChatGPT,API log,False
24,0,0,0,0,ChatGPT,API log,False
25,0,0,0,0,ChatGPT,API log,False
26,0,0,0,0,ChatGPT,API log,False
27,0,0,0,0,ChatGPT,API log,False
28,0,0,0,0,ChatGPT,API log,False
29,0,0,0,0,ChatGPT,API log,False
30,0,0,0,0,ChatGPT,API log,False
31,0,0,0,0,ChatGPT,API log,False
32,0,0,0,0,ChatGPT,API log,False
33,0,0,0,0,ChatGPT,API log,False
34,0,0,0,0,ChatGPT,API log,False
35,0,0,0,0,ChatGPT,API log,False
36,0,0,0,0,ChatGPT,API log,False
37,0,0,0,0,ChatGPT,API log,False
38,2,41,227,0,ChatGPT,API log,False
39,0,0,0,0,ChatGPT,API log,False
40,0,0,0,0,ChatGPT,API log,False
41,0,0,0,0,ChatGPT,API log,False
42,0,0,0,0,ChatGPT,API log,False
43,0,0,0,0,ChatGPT,API log,False
44,0,0,0,0,ChatGPT,API log,False
45,0,0,0,0,ChatGPT,API log,False
46,0,0,0,0,ChatGPT,API log,False
47,0,0,0,0,ChatGPT,API log,False
48,0,0,0,0,ChatGPT,API log,False
49,0,0,0,0,ChatGPT,API log,False
50,0,0,0,0,ChatGPT,API log,False
51,0,0,0,0,ChatGPT,API log,False
52,0,0,0,0,ChatGPT,API log,False
53,0,0,0,0,ChatGPT,API log,False
54,0,0,0,0,ChatGPT,API log,False
55,0,0,0,0,ChatGPT,API log,False
56,0,0,0,0,ChatGPT,API log,False
57,0,0,0,0,ChatGPT,API log,False
58,0,0,0,0,ChatGPT,API log,False
59,0,0,0,0,ChatGPT,API log,False
60,0,0,0,0,ChatGPT,API log,False
61,0,0,0,0,ChatGPT,API log,False
62,0,0,0,0,ChatGPT,API log,False
63,0,0,0,0,ChatGPT,API log,False
64,0,0,0,0,ChatGPT,API log,False
65,0,0,0,0,ChatGPT,API log,False
66,0,0,0,0,ChatGPT,API log,False
67,0,0,0,0,ChatGPT,API log,False
68,0,0,0,0,ChatGPT,API log,False
69,0,0,0,0,ChatGPT,API log,False
70,0,0,0,0,ChatGPT,API log,False
71,0,0,0,0,ChatGPT,API log,False
72,0,0,0,0,ChatGPT,API log,False
73,0,0,0,0,ChatGPT,API log,False
74,0,0,0,0,ChatGPT,API log,False
75,0,0,0,0,ChatGPT,API log,False
76,0,0,0,0,ChatGPT,API log,False
77,0,0,0,0,ChatGPT,API log,False
78,0,0,0,0,ChatGPT,API log,False
79,0,0,0,0,ChatGPT,API log,False
80,0,0,0,0,ChatGPT,API log,False
81,0,0,0,0,ChatGPT,API log,False
82,0,0,0,0,ChatGPT,API log,False
83,0,0,0,0,ChatGPT,API log,False
84,0,0,0,0,ChatGPT,API log,False
85,0,0,0,0,ChatGPT,API log,False
86,0,0,0,0,ChatGPT,API log,False
87,0,0,0,0,ChatGPT,API log,False
88,0,0,0,0,ChatGPT,API log,False
89,0,0,0,0,ChatGPT,API log,False
90,0,0,0,0,ChatGPT,API log,False
91,0,0,0,0,ChatGPT,API log,False
92,0,0,0,0,ChatGPT,API log,False
93,0,0,0,0,ChatGPT,API log,False
94,0,0,0,0,ChatGPT,API log,False
95,0,0,0,0,ChatGPT,API log,False
96,0,0,0,0,ChatGPT,API log,False
97,0,0,0,0,ChatGPT,API log,False
98,0,0,0,0,ChatGPT,API log,False
99,0,0,0,0,ChatGPT,API log,False
100,0,0,0,0,ChatGPT,API log,False
101,0,0,0,0,ChatGPT,API log,False
102,0,0,0,0,ChatGPT,API log,False
103,0,0,0,0,ChatGPT,API log,False
104,0,0,0,0,ChatGPT,API log,False
105,0,0,0,0,ChatGPT,API log,False
106,0,0,0,0,ChatGPT,API log,False
107,0,0,0,0,ChatGPT,API log,False
108,0,0,0,0,ChatGPT,API log,False
109,0,0,0,0,ChatGPT,API log,False
110,0,0,0,0,ChatGPT,API log,False
111,0,0,0,0,ChatGPT,API log,False
112,0,0,0,0,ChatGPT,API log,False
113,0,0,0,0,ChatGPT,API log,False
114,0,0,0,0,ChatGPT,API log,False
115,0,0,0,0,ChatGPT,API log,False
116,1,750,11,0,ChatGPT,API log,False
117,0,0,0,0,ChatGPT,API log,False
118,0,0,0,0,ChatGPT,API log,False
119,0,0,0,0,ChatGPT,API log,False
120,0,0,0,0,ChatGPT,API log,False
121,0,0,0,0,ChatGPT,API log,False
122,0,0,0,0,ChatGPT,API log,False
123,0,0,0,0,ChatGPT,API log,False
124,0,0,0,0,ChatGPT,API log,False
125,0,0,0,0,ChatGPT,API log,False
126,0,0,0,0,ChatGPT,API log,False
127,0,0,0,0,ChatGPT,API log,False
128,0,0,0,0,ChatGPT,API log,False
129,0,0,0,0,ChatGPT,API log,False
130,0,0,0,0,ChatGPT,API log,False
131,0,0,0,0,ChatGPT,API log,False
132,0,0,0,0,ChatGPT,API log,False
133,0,0,0,0,ChatGPT,API log,False
134,0,0,0,0,ChatGPT,API log,False
135,7,173,101,0,ChatGPT,API log,False
136,6,1254,318,0,ChatGPT,API log,False
137,1,12,9,0,ChatGPT,API log,False
138,0,0,0,0,ChatGPT,API log,False
139,0,0,0,0,ChatGPT,API log,False
140,0,0,0,0,ChatGPT,API log,False
141,1,14,9,0,ChatGPT,API log,False
142,9,98,58,2,ChatGPT,API log,False
143,10,340,1330,0,ChatGPT,API log,False
144,0,0,0,0,ChatGPT,API log,False
145,0,0,0,0,ChatGPT,API log,False
146,0,0,0,0,ChatGPT,API log,False
147,0,0,0,0,ChatGPT,API log,False
148,0,0,0,0,ChatGPT,API log,False
149,0,0,0,0,ChatGPT,API log,False
150,0,0,0,0,ChatGPT,API log,False
151,0,0,0,0,ChatGPT,API log,False
152,0,0,0,0,ChatGPT,API log,False
153,103,49690,4966,0,ChatGPT,API log,False
154,139,76554,6549,0,ChatGPT,API log,False
155,0,0,0,0,ChatGPT,API log,False
156,0,0,0,0,ChatGPT,API log,False
157,0,0,0,0,ChatGPT,API log,False
158,0,0,0,0,ChatGPT,API log,False
159,0,0,0,0,ChatGPT,API log,False
160,0,0,0,0,ChatGPT,API log,False
161,0,0,0,0,ChatGPT,API log,False
162,0,0,0,0,ChatGPT,API log,False
163,0,0,0,0,ChatGPT,API log,False
164,0,0,0,0,ChatGPT,API log,False
165,0,0,0,0,ChatGPT,API log,False
166,0,0,0,0,ChatGPT,API log,False
167,0,0,0,0,ChatGPT,API log,False
168,0,0,0,0,ChatGPT,API log,False
169,0,0,0,0,ChatGPT,API log,False
170,0,0,0,0,ChatGPT,API log,False
171,0,0,0,0,ChatGPT,API log,False
172,0,0,0,0,ChatGPT,API log,False
173,0,0,0,0,ChatGPT,API log,False
174,0,0,0,0,ChatGPT,API log,False
175,0,0,0,0,ChatGPT,API log,False
176,0,0,0,0,ChatGPT,API log,False
177,0,0,0,0,ChatGPT,API log,False
178,5,14995,539,0,ChatGPT,API log,False
179,0,0,0,0,ChatGPT,API log,False
180,4,2652,4224,0,ChatGPT,API log,False
181,0,0,0,0,ChatGPT,API log,False
182,1,849,112,0,ChatGPT,API log,False
183,0,0,0,0,ChatGPT,API log,False
184,0,0,0,0,ChatGPT,API log,False
185,3,36,49,0,ChatGPT,API log,False
186,0,0,0,0,ChatGPT,API log,False
187,0,0,0,0,ChatGPT,API log,False
188,1,2999,106,0,ChatGPT,API log,False
189,1,12,11,0,ChatGPT,API log,False
190,0,0,0,0,ChatGPT,API log,False
191,0,0,0,0,ChatGPT,API log,False
192,0,0,0,0,ChatGPT,API log,False
193,0,0,0,0,ChatGPT,API log,False
194,0,0,0,0,ChatGPT,API log,False
195,0,0,0,0,ChatGPT,API log,False
196,0,0,0,0,ChatGPT,API log,False
197,0,0,0,0,ChatGPT,API log,False
198,0,0,0,0,ChatGPT,API log,False
199,0,0,0,0,ChatGPT,API log,False
200,0,0,0,0,ChatGPT,API log,False
201,1,878,3219,0,ChatGPT,API log,False
202,9,4159,650,0,ChatGPT,API log,False
203,0,0,0,0,ChatGPT,API log,False
204,0,0,0,0,ChatGPT,API log,False
205,0,0,0,0,ChatGPT,API log,False
206,570,55496,9852,0,ChatGPT,API log,False
207,1,12,11,0,ChatGPT,API log,False
208,2,29,314,0,ChatGPT,API log,False
209,0,0,0,0,ChatGPT,API log,False
210,0,0,0,0,ChatGPT,API log,False
211,0,0,0,0,ChatGPT,API log,False
212,0,0,0,0,ChatGPT,API log,False
213,242,105754,35455,0,ChatGPT,API log,False
214,101,35786,13725,0,ChatGPT,API log,False
215,0,0,0,0,ChatGPT,API log,False
216,8,0,0,8,ChatGPT,API log,False
217,0,0,0,0,ChatGPT,API log,False
218,0,0,0,0,ChatGPT,API log,False
219,0,0,0,0,ChatGPT,API log,False
220,0,0,0,0,ChatGPT,API log,False
221,0,0,0,0,ChatGPT,API log,False
222,0,0,0,0,ChatGPT,API log,False
223,0,0,0,0,ChatGPT,API log,False
224,1,12,11,0,ChatGPT,API log,False
225,0,0,0,0,ChatGPT,API log,False
226,0,0,0,0,ChatGPT,API log,False
227,1328,109372,22959,0,ChatGPT,API log,False
228,21368,2737060,220597,0,ChatGPT,API log,False
229,16477,3772135,233144,0,ChatGPT,API log,False
230,986,2485209,115053,1,ChatGPT,API log,False
231,2345,6885181,377132,0,ChatGPT,API log,False
232,1865,5645710,321513,0,ChatGPT,API log,False
233,3280,6332670,409311,0,ChatGPT,API log,False
234,14655,4538501,283691,17,ChatGPT,API log,False
235,33236,8545451,447965,29,ChatGPT,API log,False
236,20131,4756712,1058935,11,ChatGPT,API log,False
237,10549,3799298,1642024,62,ChatGPT,API log,False
238,10387,4036749,1671782,1,ChatGPT,API log,False
239,9729,6194990,2007396,7,ChatGPT,API log,False
240,11039,4732191,1790446,1,ChatGPT,API log,False
241,11586,1640522,1667901,0,ChatGPT,API log,False
242,11644,1360126,1412327,191,ChatGPT,API log,False
243,13579,2289891,1699409,0,ChatGPT,API log,False
244,14149,4129871,1641679,0,ChatGPT,API log,False
245,13725,1939355,1306701,50,ChatGPT,API log,False
246,4529,613694,443697,14,ChatGPT,API log,False
247,0,0,0,0,ChatGPT,API log,False
248,0,0,0,0,ChatGPT,API log,False
249,5369,754929,845748,0,ChatGPT,API log,False
250,1654,320087,458292,0,ChatGPT,API log,False
251,0,0,0,0,ChatGPT,API log,False
252,0,0,0,0,ChatGPT,API log,False
253,7,488,134,0,ChatGPT,API log,False
254,0,0,0,0,ChatGPT,API log,False
255,0,0,0,0,ChatGPT,API log,False
256,702,51622,17275,0,ChatGPT,API log,False
257,95,8561,5527,0,ChatGPT,API log,False
258,688,62295,42976,0,ChatGPT,API log,False
259,134,12157,8547,0,ChatGPT,API log,False
260,0,0,0,0,ChatGPT,API log,False
261,0,0,0,0,ChatGPT,API log,False
