id,title,publication_status,canonical_url,inspection_level,known_overlap,next_comparison,primary_evidence_url
L01,AI data centres as grid-interactive assets,"Nature Energy; online 2025, issue 2026",https://doi.org/10.1038/s41560-025-01927-1,"Public source repository, README and 8 source files inspected; numerical reanalysis completed",Actual AI power management and service constraints already demonstrated,Use measured configurations for calibration; do not claim first demonstration,https://github.com/ai-emerald/emerald-ai-demo-may-2025
L02,"Remunerating space–time, load-shifting flexibility from data centers in electricity markets","Applied Energy 326 (2022), 119930",https://doi.org/10.1016/j.apenergy.2022.119930,Full text obtained from NSF; model and economic-property passages inspected,Spatiotemporal remuneration and market-clearing economic properties already studied,Distinguish fixed completed service and recovery constraints from endogenous load served,https://par.nsf.gov/servlets/purl/10388099
L03,"Flexible Data Centers and the Grid: Lower Costs, Higher Emissions? / Flexible data centers reduce power system costs but can increase emissions",MIT CEEPR WP 2025-14; linked iScience publication 2026,https://ceepr.mit.edu/wp-content/uploads/2025/07/MIT-CEEPR-WP-2025-14.pdf,Working-paper model section inspected; published-version result passages inspected,"Capacity expansion, temporal flexibility and cost/emissions divergence already studied","Compare explicit arrivals/deadlines, measured power modes and flexibility delivery costs; track version differences",https://www.sciencedirect.com/science/article/pii/S2589004226018729
L04,Processing Power: The Effect of Data Centers on Wholesale Electricity Markets,Federal Reserve Bank of Dallas WP 2606 (2026); working paper,https://doi.org/10.24149/wp2606,"Primary PDF obtained; abstract, dispatch scope and planner/siting passages inspected",Spatial planner benchmark and cost of spare compute already discussed,Country substitution or planner-versus-current comparison alone is insufficient,https://www.dallasfed.org/~/media/documents/research/papers/2026/wp2606.pdf
L05,Spatio-temporal load shifting for truly clean computing,"Advances in Applied Energy 17 (2025), 100202",https://doi.org/10.1016/j.adapen.2024.100202,Author page and author preprint abstract inspected,Spatiotemporal scheduling and hourly clean-energy matching already studied,Need inspect full equations and code before claiming a missing constraint,https://arxiv.org/abs/2405.00036
L06,Mitigating Curtailment and Carbon Emissions through Load Migration between Data Centers,"Joule 4 (2020), 2208–2222",https://doi.org/10.1016/j.joule.2020.08.001,Publisher summary and methods synopsis inspected,Migration for curtailment and emissions reduction predates the current AI boom,Cannot use renewable integration via migration as standalone novelty,https://www.sciencedirect.com/science/article/pii/S2542435120303470
L07,Shifting Load through Space: The Economics of Spatial Demand Side Management Using Distributed Data Centers,"Energy Policy 109 (2017), 400–413",https://doi.org/10.1016/j.enpol.2017.07.018,University repository abstract inspected,Balancing-power economics and constraints on both participating grids already studied,"Need compare actual settlement and delivery design, not generic incentive language",https://eref.uni-bayreuth.de/id/eprint/39027
L08,Agent Coordination via Contextual Regression (AgentCONCUR) for Data Center Flexibility,Author preprint 2023; revised 2024; final publication metadata pending,https://arxiv.org/abs/2309.16792,Author preprint abstract and code README inspected,Public-signal-based data-center/grid coordination already proposed,Benchmark coordination mechanisms and clarify information assumptions,https://github.com/wdvorkin/AgentCONCUR
L09,To Defer or To Shift? The Role of AI Data Center Flexibility on Grid Interconnection,"ACM Sustainability Week Companion 2026, 322–327",https://doi.org/10.1145/3765611.3815593,"Publisher abstract, model description and results inspected",Temporal/spatial flexibility in capacity expansion and non-monotonic investment effects,Cannot claim first capacity-expansion analysis or first diminishing-returns finding,https://doi.org/10.1145/3765611.3815593
L10,Quantifying AI data center flexibility as a resource adequacy asset,Research Square preprint (2026),https://climate.uchicago.edu/working-papers/quantifying-ai-data-center-flexibility-as-a-resource-adequacy-asset/,"Public author repository, May 11 manuscript and cascade methods inspected; notebooks inspected but not executed","Inference flexibility, recovery saturation, conditional Monte Carlo and an exogenous 92% ELCC factor already studied",Compare task-conserving sequential reliability against proxy cascade and exogenous accreditation; replication pending,https://github.com/ctdunlap32/data-center-flexibility-resource-adequacy
L11,Leveraging temporal and spatial flexibility of renewable-centric data centers in China,"IIASA YSSP 2025 colloquium proceedings; research abstract, not journal article",https://iiasa.ac.at/sites/default/files/2025-11/2025%20YSSP%20Final%20Colloquium%20Proceedings%20%28002%29.pdf,Institutional proceedings obtained; relevant abstract inspected,China provincial hourly planning-operation and spatiotemporal workloads already explored,Must track associated full publication; national resolution alone is not a gap,https://iiasa.ac.at/sites/default/files/2025-11/2025%20YSSP%20Final%20Colloquium%20Proceedings%20%28002%29.pdf
