unit_id,plant,unit,capacity_MW,inventory_technology,inventory_fuel,inventory_CHP,primary_candidate_sources,identity_status,boundary_status,export_limit_MW,firm_flexible_capacity_MW,operational_admission,inventory_mutation,solver_enforcement
G100001017684,Changzhou Zhongtian Iron & Steel power station,Unit 3,135.0,steam turbine,industrial by-product: blast furnace gas,not found,zhongtian_20180827.html,"Changzhou phase-3 project, same technology/capacity; phase 3 is not independently proven equal to inventory Unit 3","historical construction announcement; export, fuel budget and current operation not established",,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412357,"Jiangsu Lihuai Iron & Steel Co., Ltd. power project",1,80.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412356,"Jiangsu Province Binxin Steel Group Co., Ltd. power project",1,80.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412355,"Jiangsu Province Binxin Steel Group Co., Ltd. power project",2,80.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412354,"Jiangsu Province Binxin Steel Group Co., Ltd. power project",3,150.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412574,"Nanjing Nangang Industrial Development Co., Ltd. power project",5,120.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412573,"Nanjing Nangang Industrial Development Co., Ltd. power project",6,120.0,steam turbine,industrial by-product: blast furnace gas,not found,nangang_green_bond_20220214.pdf;nangang_2022_operations.html,Nangang Unit 6: issuer unit number and capacity support candidate match; bond project identity is not linked by a unique permit to inventory; CNY 471m vs CNY 430m project budgets unresolved,planned self-use/no-grid statement; later grid-connection wording does not identify public export or meter boundary,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412272,"Yangzhou Hengrun Ocean Heavy Industry Co., Ltd. Gas Power Project",1,65.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412271,"Yangzhou Hengrun Ocean Heavy Industry Co., Ltd. Gas Power Project",2,65.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412270,"Zenith Steel Group (Nantong) Co., Ltd. Gas power project",1,100.0,steam turbine,"industrial by-product: blast furnace gas, industrial by-product: coke oven gas",not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412262,"Zhongxin Iron and Steel Group Co., Ltd. Gas Power Project",1,65.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
G100000412261,"Zhongxin Iron and Steel Group Co., Ltd. Gas Power Project",2,65.0,steam turbine,industrial by-product: blast furnace gas,not found,,No unit-specific primary evidence admitted in this stage,Unresolved; do not transfer another unit's restrictions,,,NOT_ADMITTED_AS_UNCONSTRAINED_GRID_RESOURCE,NONE,NOT_IMPLEMENTED_BY_THIS_AUDIT
