source_excel_row,unit_id,province,source_type,technology,technology_group,name,phase,mw,lat,lon,start_year,reported_start_year,status_at_source_release,known_start_after_2020,by2020_vintage_candidate,coordinate_available,pv_classification_assumed_in_source,historical_2020_scope,approximate_distance_outside_province_km,coordinate_screen,weather_candidate,grid_lat,grid_lon
60292,G100000803035,Gansu,solar,PV,solar_pv,Xinjiang Minle Energy Chemical Industry solar farm,--,50.0,42.4805,85.4633,2015,2015,operating,False,True,True,False,surviving_2025_unit_started_before_2020,664.2881561252608,far_outside_hold,False,42.5,85.5
52880,G100000803372,Gansu,solar,Solar Thermal,solar_thermal,Gansu Dunhuang Molten Salt Tower solar farm,--,100.0,40.0651,94.425,2018,2018,operating,False,True,True,False,surviving_2025_unit_started_before_2020,0.0,inside_coarse_province_polygon,False,40.0,94.5
59822,G100000803905,Gansu,solar,PV,solar_pv,Xinjiang Aksay Huadian solar farm,1,30.0,42.4805,85.4633,2014,2014,operating,False,True,True,False,surviving_2025_unit_started_before_2020,664.2881561252608,far_outside_hold,False,42.5,85.5
52869,G100000811617,Gansu,solar,Solar Thermal,solar_thermal,Gansu Dunhuang (Lanzhou Dacheng) solar farm,--,50.0,40.0832,94.423,2019,2019,operating,False,True,True,False,surviving_2025_unit_started_before_2020,0.0,inside_coarse_province_polygon,False,40.0,94.5
53274,G100000811689,Gansu,solar,Solar Thermal,solar_thermal,Gansu Yumen (Xinneng) solar farm,--,50.0,40.291,97.0402,,,operating,False,False,True,False,start_year_unknown,0.0,inside_coarse_province_polygon,False,40.25,97.0
52849,G100000831441,Gansu,solar,Solar Thermal,solar_thermal,Gansu Akesai (Huidong New Energy) solar farm,Solar Thermal,110.0,38.927,94.623,2024,2024,operating,True,False,True,False,post2020_unit,0.0,inside_coarse_province_polygon,False,39.0,94.5
53269,G100000831530,Gansu,solar,Solar Thermal,solar_thermal,Gansu Yumen (China Nuclear Xin'ao) solar and wind complex with storage,Solar Thermal,100.0,40.225,97.772,2024,2024,operating,True,False,True,False,post2020_unit,0.0,inside_coarse_province_polygon,False,40.25,97.75
20746,G100000904494,Gansu,wind,Onshore,wind_onshore,Gansu Huanxian Nanqiu wind farm,1,50.0,36.9167,111.6306,2012,2012,operating,False,True,True,False,surviving_2025_unit_started_before_2020,259.7495707600745,far_outside_hold,False,37.0,111.75
22017,G100000905744,Guizhou,wind,Onshore,wind_onshore,Guizhou Weining Dashanshu wind farm,--,50.0,28.9478,103.8619,2015,2015,operating,False,True,True,False,surviving_2025_unit_started_before_2020,162.92758616083879,far_outside_hold,False,29.0,103.75
19182,G100000903021,Jiangsu,wind,Onshore,wind_onshore,Jiangsu Dafeng (Tianrun) Experimental wind farm,--,49.0,33.3333,112.2167,2020,2020,operating,False,True,True,False,within_2020_commissioning_month_unknown,420.4696711164181,far_outside_hold,False,33.25,112.25
19191,G100000903029,Jiangsu,wind,Onshore,wind_onshore,Jiangsu Sheyang (Datang) wind farm,--,48.0,31.3068,114.9973,2020,2020,operating,False,True,True,False,within_2020_commissioning_month_unknown,342.550711875803,far_outside_hold,False,31.25,115.0
